Должность,Компания,Адрес,Ссылка 
['Game Analyst', 'GAMETEQ', 'Тбилиси', 'https://prokopyevsk.hh.ru/vacancy/72162809?from=vacancy_search_list&query=python']
['Data Scientist (Аналитик)', 'ООО\xa0МКК Срочноденьги', 'Нижний Новгород', 'https://prokopyevsk.hh.ru/vacancy/73022227?from=vacancy_search_list&query=python']
['Junior Python разработчик', 'ПАО\xa0МегаФон', 'Самара', 'https://prokopyevsk.hh.ru/vacancy/73020004?from=vacancy_search_list&query=python']
['Python Developer (Senior)', 'ТОКИО-CITY', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/71925039?from=vacancy_search_list&query=python']
['Программист Python (удаленно)', 'Nextner', 'Красноярск', 'https://prokopyevsk.hh.ru/vacancy/73054152?from=vacancy_search_list&query=python']
['Аналитик данных / Data scientist', 'ООО\xa0СтандартПроект', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72177207?from=vacancy_search_list&query=python']
['Python Developer - Junior / Middle', 'A-hiring', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73032180?from=vacancy_search_list&query=python']
['Разработчик Elixir (Junior)', 'Eqvanta', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72663017?from=vacancy_search_list&query=python']
['Backend разработчик (Python)', 'Кадровое агентство Алексея Сухорукова', 'Новосибирск', 'https://prokopyevsk.hh.ru/vacancy/73077451?from=vacancy_search_list&query=python']
['Python-разработчик', 'ООО\xa0Ред Софт', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/69542170?from=vacancy_search_list&query=python']
['Data Scientist (Predict)', 'VK', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73254140?from=vacancy_search_list&query=python']
['Senior Data Analyst', 'AppMagic', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/73138314?from=vacancy_search_list&query=python']
['Разработчик ML', 'NAUMEN', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72235984?from=vacancy_search_list&query=python']
['Backend разработчик (Python)', 'INSITECH Development', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/73090302?from=vacancy_search_list&query=python']
['Senior/Lead Python developer (fintech)', 'Wanted', 'Армения', 'https://prokopyevsk.hh.ru/vacancy/73118577?from=vacancy_search_list&query=python']
['Автоматизатор в Дата-аналитику', 'ООО\xa0Верме', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73013784?from=vacancy_search_list&query=python']
['Python-разработчик систем сбора', 'ООО\xa0Селфсек', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72687495?from=vacancy_search_list&query=python']
['Middle backend Python developer', 'СОКБ', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72133611?from=vacancy_search_list&query=python']
['Backend разработчик (Python', 'ООО\xa0Инновационный центр КАМАЗ', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73131563?from=vacancy_search_list&query=python']
['Python разработчик', 'Университет Иннополис', 'Казань', 'https://prokopyevsk.hh.ru/vacancy/73035567?from=vacancy_search_list&query=python']
['Senior Python Fullstack Developer', '4CV Recruitment Services', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73195194?from=vacancy_search_list&query=python']
['Junior Data Scientist', 'Центр финансовых технологий', 'Томск', 'https://prokopyevsk.hh.ru/vacancy/73082790?from=vacancy_search_list&query=python']
['Middle+ / Senior Data Engineer', 'КИБЕР-РОМ', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/69475611?from=vacancy_search_list&query=python']
['Python developer', 'Ростелеком - Центры обработки данных', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/73008767?from=vacancy_search_list&query=python']
['Junior Data Scientist (Стажер)', 'Центр финансовых технологий', 'Новокузнецк', 'https://prokopyevsk.hh.ru/vacancy/73222506?from=vacancy_search_list&query=python']
['Middle Python Developer', 'Филиал компании Лист Ренталс Лимитед', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72631869?from=vacancy_search_list&query=python']
['Backend-Developer Python (middle)', 'Онлайн-школа Тетрика', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/73244938?from=vacancy_search_list&query=python']
['Python - разработчик/Machine learning developer', 'Банк Открытие', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72124025?from=vacancy_search_list&query=python']
['Python developer', 'LC Group', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/73120838?from=vacancy_search_list&query=python']
['Тестировщик на Python', 'SberTech', 'Барнаул', 'https://prokopyevsk.hh.ru/vacancy/73058688?from=vacancy_search_list&query=python']
['Middle Python/Go developer (офис)', 'Сайтсофт', 'Екатеринбург', 'https://prokopyevsk.hh.ru/vacancy/71379712?from=vacancy_search_list&query=python']
['Data Scientist', 'ООО\xa0Софт Инжиниринг', 'Томск', 'https://prokopyevsk.hh.ru/vacancy/73226517?from=vacancy_search_list&query=python']
['DevOps Engineer Junior', 'Gear Games', 'Кострома', 'https://prokopyevsk.hh.ru/vacancy/69389773?from=vacancy_search_list&query=python']
['Middle Python программист', 'TEAM 73', 'Ростов-на-Дону', 'https://prokopyevsk.hh.ru/vacancy/73005874?from=vacancy_search_list&query=python']
['Разработчик Python', 'НСК', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/69756685?from=vacancy_search_list&query=python']
['Ученик DevOps Engineer', 'ООО\xa0Дунайс', 'Таганрог', 'https://prokopyevsk.hh.ru/vacancy/71821647?from=vacancy_search_list&query=python']
['Python Developer middle+', 'ООО\xa0Фаст Софт', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/73136188?from=vacancy_search_list&query=python']
['Стажер Data Scientist', 'Сбер для экспертов', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72950810?from=vacancy_search_list&query=python']
['Python developer (офис)', 'Сайтсофт', 'Екатеринбург', 'https://prokopyevsk.hh.ru/vacancy/66112913?from=vacancy_search_list&query=python']
['Computer Vision Engineer (Стажер)', 'Центр финансовых технологий', 'Новокузнецк', 'https://prokopyevsk.hh.ru/vacancy/73227826?from=vacancy_search_list&query=python']
['Data Scientist', 'Finbridge', 'Ростов-на-Дону', 'https://prokopyevsk.hh.ru/vacancy/69953359?from=vacancy_search_list&query=python']
['Junior DevOps-инженер', 'Swordfish Security', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71240763?from=vacancy_search_list&query=python']
['Data Engineer', 'Playrix', 'Сербия', 'https://prokopyevsk.hh.ru/vacancy/73150384?from=vacancy_search_list&query=python']
['Backend-разработчик jun+/mid- (Golang)', 'ООО\xa0Центр Развития Технологий', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72034802?from=vacancy_search_list&query=python']
['Менеджер по автоматизации/Разработчик (SQL/VBA/Python)', 'ПАО\xa0«Группа Черкизово»', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71223138?from=vacancy_search_list&query=python']
['Data scientist', 'АО\xa0Московский ювелирный завод', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71883843?from=vacancy_search_list&query=python']
['QA Engineer (Python + pytest)', 'EXANTE', 'Армения', 'https://prokopyevsk.hh.ru/vacancy/73127056?from=vacancy_search_list&query=python']
['Senior Python developer', 'ООО\xa0ЛИГРЕС', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/72739174?from=vacancy_search_list&query=python']
['Middle Python developer', 'S8 Capital', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72782526?from=vacancy_search_list&query=python']
['Data Engineer', 'Aviasales.ru', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72119964?from=vacancy_search_list&query=python']
['Server Programmer (Python)', 'Lesta Games', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/68381368?from=vacancy_search_list&query=python']
['Python разработчик в команду Облака', 'КРОК', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/71884634?from=vacancy_search_list&query=python']
['Разработчик Python', 'ООО\xa0МСК ГРУПП ИС', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72748175?from=vacancy_search_list&query=python']
['Стажер (Data Science', 'Сбер для экспертов', 'Новосибирск', 'https://prokopyevsk.hh.ru/vacancy/72778627?from=vacancy_search_list&query=python']
['Инженер-программист Python', 'АО\xa0Корпорация Оборонные технологии', 'Санкт-Петербург', 'https://prokopyevsk.hh.ru/vacancy/71226409?from=vacancy_search_list&query=python']
['Разработчик Python', 'ООО\xa0МСК ГРУПП ИС', 'Самара', 'https://prokopyevsk.hh.ru/vacancy/72748148?from=vacancy_search_list&query=python']
['Ведущий Python разработчик (проект INAC)', 'билайн: ИТ', 'Москва', 'https://prokopyevsk.hh.ru/vacancy/72006131?from=vacancy_search_list&query=python']
['Разработчик Telegram-ботов Python (Django)', 'Сибтех', 'Томск', 'https://prokopyevsk.hh.ru/vacancy/72808592?from=vacancy_search_list&query=python']
